starts_total,year,cma_key
1160,2023,abbotsford mission
2308,2023,barrie
480,2023,belleville quinte west
865,2023,brantford
19579,2023,calgary
616,2023,chilliwack
645,2023,drummondville
13184,2023,edmonton
1002,2023,fredericton
268,2023,greater sudbury
1280,2023,guelph
4805,2023,halifax
3701,2023,hamilton
522,2023,kamloops
2970,2023,kelowna
1414,2023,kingston
4712,2023,kitchener cambridge waterloo
2188,2023,london
2118,2023,moncton
15235,2023,montreal
546,2023,nanaimo
11993,2023,ottawa gatineau
263,2023,peterborough
5009,2023,quebec
1177,2023,regina
542,2023,saint john
2648,2023,saskatoon
1391,2023,sherbrooke
2747,2023,st catharines niagara
488,2023,st john s
47428,2023,toronto
1320,2023,trois rivieres
33244,2023,vancouver
4992,2023,victoria
1208,2023,windsor
5454,2023,winnipeg
