starts_total,year,cma_key
1467,2022,abbotsford mission
3044,2022,barrie
1760,2022,brantford
17306,2022,calgary
14586,2022,edmonton
282,2022,greater sudbury
493,2022,guelph
3387,2022,halifax
3530,2022,hamilton
3382,2022,kelowna
653,2022,kingston
4847,2022,kitchener cambridge waterloo
3361,2022,london
2028,2022,moncton
24149,2022,montreal
15023,2022,ottawa gatineau
353,2022,peterborough
8290,2022,quebec
937,2022,regina
608,2022,saint john
2659,2022,saskatoon
1751,2022,sherbrooke
3168,2022,st catharines niagara
733,2022,st john s
45109,2022,toronto
1153,2022,trois rivieres
25983,2022,vancouver
4787,2022,victoria
1515,2022,windsor
5870,2022,winnipeg
