"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Housing starts","Single-detached units","Units","300","units","0","v42127761","12.1.2","3767","","","","0"
"1961","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Housing starts","Semi-detached units","Units","300","units","0","v42127762","12.1.3","576","","","","0"
"1961","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Housing starts","Row units","Units","300","units","0","v42127763","12.1.4","347","","","","0"
"1961","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Housing starts","Apartment and other unit types","Units","300","units","0","v42127764","12.1.5","1610","","","","0"
"1961","Québec, Quebec","2011S0503421","Housing starts","Total units","Units","300","units","0","v42127805","15.1.1","3247","","","","0"
"1961","Québec, Quebec","2011S0503421","Housing starts","Single-detached units","Units","300","units","0","v42127806","15.1.2","2142","","","","0"
"1961","Québec, Quebec","2011S0503421","Housing starts","Semi-detached units","Units","300","units","0","v42127807","15.1.3","162","","","","0"
"1961","Québec, Quebec","2011S0503421","Housing starts","Row units","Units","300","units","0","v42127808","15.1.4","102","","","","0"
"1961","Québec, Quebec","2011S0503421","Housing starts","Apartment and other unit types","Units","300","units","0","v42127809","15.1.5","841","","","","0"
"1961","St. John's, Newfoundland and Labrador","2011S0503001","Housing starts","Total units","Units","300","units","0","v42127865","19.1.1","252","","","","0"
"1961","St. John's, Newfoundland and Labrador","2011S0503001","Housing starts","Single-detached units","Units","300","units","0","v42127866","19.1.2","252","","","","0"
"1961","St. John's, Newfoundland and Labrador","2011S0503001","Housing starts","Semi-detached units","Units","300","units","0","v42127867","19.1.3","0","","","","0"
"1961","St. John's, Newfoundland and Labrador","2011S0503001","Housing starts","Row units","Units","300","units","0","v42127868","19.1.4","0","","","","0"
"1961","St. John's, Newfoundland and Labrador","2011S0503001","Housing starts","Apartment and other unit types","Units","300","units","0","v42127869","19.1.5","0","","","","0"
"1961","Saint John, New Brunswick","2011S0503310","Housing starts","Total units","Units","300","units","0","v42127850","18.1.1","561","","","","0"
"1961","Saint John, New Brunswick","2011S0503310","Housing starts","Single-detached units","Units","300","units","0","v42127851","18.1.2","442","","","","0"
"1961","Saint John, New Brunswick","2011S0503310","Housing starts","Semi-detached units","Units","300","units","0","v42127852","18.1.3","22","","","","0"
"1961","Saint John, New Brunswick","2011S0503310","Housing starts","Row units","Units","300","units","0","v42127853","18.1.4","46","","","","0"
"1961","Saint John, New Brunswick","2011S0503310","Housing starts","Apartment and other unit types","Units","300","units","0","v42127854","18.1.5","51","","","","0"
"1961","Toronto, Ontario","2011S0503535","Housing starts","Total units","Units","300","units","0","v42127955","24.1.1","17518","","","","0"
"1961","Toronto, Ontario","2011S0503535","Housing starts","Single-detached units","Units","300","units","0","v42127956","24.1.2","4234","","","","0"
"1961","Toronto, Ontario","2011S0503535","Housing starts","Semi-detached units","Units","300","units","0","v42127957","24.1.3","1585","","","","0"
"1961","Toronto, Ontario","2011S0503535","Housing starts","Row units","Units","300","units","0","v42127958","24.1.4","136","","","","0"
"1961","Toronto, Ontario","2011S0503535","Housing starts","Apartment and other unit types","Units","300","units","0","v42127959","24.1.5","11563","","","","0"
"1961","Vancouver, British Columbia","2011S0503933","Housing starts","Total units","Units","300","units","0","v42127985","26.1.1","5588","","","","0"
"1961","Vancouver, British Columbia","2011S0503933","Housing starts","Single-detached units","Units","300","units","0","v42127986","26.1.2","3215","","","","0"
"1961","Vancouver, British Columbia","2011S0503933","Housing starts","Semi-detached units","Units","300","units","0","v42127987","26.1.3","54","","","","0"
"1961","Vancouver, British Columbia","2011S0503933","Housing starts","Row units","Units","300","units","0","v42127988","26.1.4","55","","","","0"
"1961","Vancouver, British Columbia","2011S0503933","Housing starts","Apartment and other unit types","Units","300","units","0","v42127989","26.1.5","2264","","","","0"
"1961","Victoria, British Columbia","2011S0503935","Housing starts","Total units","Units","300","units","0","v42128000","27.1.1","1279","","","","0"
"1961","Victoria, British Columbia","2011S0503935","Housing starts","Single-detached units","Units","300","units","0","v42128001","27.1.2","676","","","","0"
"1961","Victoria, British Columbia","2011S0503935","Housing starts","Semi-detached units","Units","300","units","0","v42128002","27.1.3","56","","","","0"
"1961","Victoria, British Columbia","2011S0503935","Housing starts","Row units","Units","300","units","0","v42128003","27.1.4","6","","","","0"
"1961","Victoria, British Columbia","2011S0503935","Housing starts","Apartment and other unit types","Units","300","units","0","v42128004","27.1.5","541","","","","0"
"1961","Windsor, Ontario","2011S0503559","Housing starts","Total units","Units","300","units","0","v42128015","28.1.1","526","","","","0"
"1961","Windsor, Ontario","2011S0503559","Housing starts","Single-detached units","Units","300","units","0","v42128016","28.1.2","374","","","","0"
"1961","Windsor, Ontario","2011S0503559","Housing starts","Semi-detached units","Units","300","units","0","v42128017","28.1.3","4","","","","0"
"1961","Windsor, Ontario","2011S0503559","Housing starts","Row units","Units","300","units","0","v42128018","28.1.4","0","","","","0"
"1961","Windsor, Ontario","2011S0503559","Housing starts","Apartment and other unit types","Units","300","units","0","v42128019","28.1.5","148","","","","0"
"1961","Winnipeg, Manitoba","2011S0503602","Housing starts","Total units","Units","300","units","0","v42128030","29.1.1","4187","","","","0"
"1961","Winnipeg, Manitoba","2011S0503602","Housing starts","Single-detached units","Units","300","units","0","v42128031","29.1.2","2345","","","","0"
"1961","Winnipeg, Manitoba","2011S0503602","Housing starts","Semi-detached units","Units","300","units","0","v42128032","29.1.3","244","","","","0"
"1961","Winnipeg, Manitoba","2011S0503602","Housing starts","Row units","Units","300","units","0","v42128033","29.1.4","41","","","","0"
"1961","Winnipeg, Manitoba","2011S0503602","Housing starts","Apartment and other unit types","Units","300","units","0","v42128034","29.1.5","1557","","","","0"
"1962","Census metropolitan areas","","Housing starts","Total units","Units","300","units","0","v42127715","1.1.1","85468","","","","0"
"1962","Census metropolitan areas","","Housing starts","Single-detached units","Units","300","units","0","v42127716","1.1.2","36649","","","","0"
"1962","Census metropolitan areas","","Housing starts","Semi-detached units","Units","300","units","0","v42127717","1.1.3","9191","","","","0"
"1962","Census metropolitan areas","","Housing starts","Row units","Units","300","units","0","v42127718","1.1.4","3028","","","","0"
"1962","Census metropolitan areas","","Housing starts","Apartment and other unit types","Units","300","units","0","v42127719","1.1.5","36600","","","","0"
"1962","Census metropolitan areas","","Housing under construction","Total units","Units","300","units","0","v42127720","1.2.1","47692","","","","0"
"1962","Census metropolitan areas","","Housing under construction","Single-detached units","Units","300","units","0","v42127721","1.2.2","16825","","","","0"
"1962","Census metropolitan areas","","Housing under construction","Semi-detached units","Units","300","units","0","v42127722","1.2.3","3581","","","","0"
"1962","Census metropolitan areas","","Housing under construction","Row units","Units","300","units","0","v42127723","1.2.4","1009","","","","0"
"1962","Census metropolitan areas","","Housing under construction","Apartment and other unit types","Units","300","units","0","v42127724","1.2.5","26277","","","","0"
"1962","Census metropolitan areas","","Housing completions","Total units","Units","300","units","0","v42127725","1.3.1","81319","","","","0"
"1962","Census metropolitan areas","","Housing completions","Single-detached units","Units","300","units","0","v42127726","1.3.2","37053","","","","0"
"1962","Census metropolitan areas","","Housing completions","Semi-detached units","Units","300","units","0","v42127727","1.3.3","9599","","","","0"
"1962","Census metropolitan areas","","Housing completions","Row units","Units","300","units","0","v42127728","1.3.4","1876","","","","0"
"1962","Census metropolitan areas","","Housing completions","Apartment and other unit types","Units","300","units","0","v42127729","1.3.5","32791","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing starts","Total units","Units","300","units","0","v42127880","2.1.1","5136","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing starts","Single-detached units","Units","300","units","0","v42127881","2.1.2","2752","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing starts","Semi-detached units","Units","300","units","0","v42127882","2.1.3","368","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing starts","Row units","Units","300","units","0","v42127883","2.1.4","120","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing starts","Apartment and other unit types","Units","300","units","0","v42127884","2.1.5","1896","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing under construction","Total units","Units","300","units","0","v42127885","2.2.1","1772","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing under construction","Single-detached units","Units","300","units","0","v42127886","2.2.2","809","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing under construction","Semi-detached units","Units","300","units","0","v42127887","2.2.3","116","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing under construction","Row units","Units","300","units","0","v42127888","2.2.4","26","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing under construction","Apartment and other unit types","Units","300","units","0","v42127889","2.2.5","821","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing completions","Total units","Units","300","units","0","v42127890","2.3.1","4613","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing completions","Single-detached units","Units","300","units","0","v42127891","2.3.2","2762","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing completions","Semi-detached units","Units","300","units","0","v42127892","2.3.3","342","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing completions","Row units","Units","300","units","0","v42127893","2.3.4","50","","","","0"
"1962","Calgary, Alberta","2011S0503825","Housing completions","Apartment and other unit types","Units","300","units","0","v42127894","2.3.5","1459","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing starts","Total units","Units","300","units","0","v42128090","4.1.1","5255","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing starts","Single-detached units","Units","300","units","0","v42128091","4.1.2","3248","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing starts","Semi-detached units","Units","300","units","0","v42128092","4.1.3","254","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing starts","Row units","Units","300","units","0","v42128093","4.1.4","282","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing starts","Apartment and other unit types","Units","300","units","0","v42128094","4.1.5","1471","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing under construction","Total units","Units","300","units","0","v42128095","4.2.1","2909","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing under construction","Single-detached units","Units","300","units","0","v42128096","4.2.2","1458","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing under construction","Semi-detached units","Units","300","units","0","v42128097","4.2.3","89","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing under construction","Row units","Units","300","units","0","v42128098","4.2.4","244","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing under construction","Apartment and other unit types","Units","300","units","0","v42128099","4.2.5","1118","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing completions","Total units","Units","300","units","0","v42128100","4.3.1","5157","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing completions","Single-detached units","Units","300","units","0","v42128101","4.3.2","3295","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing completions","Semi-detached units","Units","300","units","0","v42128102","4.3.3","222","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing completions","Row units","Units","300","units","0","v42128103","4.3.4","281","","","","0"
"1962","Edmonton, Alberta","2011S0503835","Housing completions","Apartment and other unit types","Units","300","units","0","v42128104","4.3.5","1359","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing starts","Total units","Units","300","units","0","v42127925","22.1.1","1232","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing starts","Single-detached units","Units","300","units","0","v42127926","22.1.2","520","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing starts","Semi-detached units","Units","300","units","0","v42127927","22.1.3","72","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing starts","Row units","Units","300","units","0","v42127928","22.1.4","0","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing starts","Apartment and other unit types","Units","300","units","0","v42127929","22.1.5","640","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing under construction","Total units","Units","300","units","0","v42127930","22.2.1","368","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing under construction","Single-detached units","Units","300","units","0","v42127931","22.2.2","255","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing under construction","Semi-detached units","Units","300","units","0","v42127932","22.2.3","22","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing under construction","Row units","Units","300","units","0","v42127933","22.2.4","19","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing under construction","Apartment and other unit types","Units","300","units","0","v42127934","22.2.5","72","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing completions","Total units","Units","300","units","0","v42127935","22.3.1","761","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing completions","Single-detached units","Units","300","units","0","v42127936","22.3.2","531","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing completions","Semi-detached units","Units","300","units","0","v42127937","22.3.3","40","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing completions","Row units","Units","300","units","0","v42127938","22.3.4","19","","","","0"
"1962","Greater Sudbury, Ontario","2011S0503580","Housing completions","Apartment and other unit types","Units","300","units","0","v42127939","22.3.5","171","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing starts","Total units","Units","300","units","0","v42128105","5.1.1","1590","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing starts","Single-detached units","Units","300","units","0","v42128106","5.1.2","684","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing starts","Semi-detached units","Units","300","units","0","v42128107","5.1.3","136","","","","0"
