cma_key,year,unemp_rate
regina,2020,8.399999618530273
regina,2021,6.800000190734863
regina,2022,4.9
regina,2023,4.900000095367432
saint john,2016,7.8
saint john,2017,5.9
saint john,2018,6.199999809265137
saint john,2019,6.800000190734863
saint john,2020,10.30000019073486
saint john,2021,9.399999618530273
saint john,2022,6.9
saint john,2023,5.300000190734863
saskatoon,2016,7
saskatoon,2017,8
saskatoon,2018,6.699999809265137
saskatoon,2019,5.900000095367432
saskatoon,2020,9.600000381469727
saskatoon,2021,7.099999904632568
saskatoon,2022,4.2
saskatoon,2023,5.099999904632568
sherbrooke,2016,6.3
sherbrooke,2017,5.9
sherbrooke,2018,4.900000095367432
sherbrooke,2019,4.199999809265137
sherbrooke,2020,7.599999904632568
sherbrooke,2021,4.699999809265137
sherbrooke,2022,3.2
sherbrooke,2023,4.300000190734863
st catharines niagara,2016,7.1
st catharines niagara,2017,6.7
st catharines niagara,2018,6.800000190734863
st catharines niagara,2019,5.699999809265137
st catharines niagara,2020,10.60000038146973
st catharines niagara,2021,10.39999961853027
st catharines niagara,2022,5.2
st catharines niagara,2023,5.800000190734863
st john s,2016,7.9
st john s,2017,8.5
st john s,2018,8.399999618530273
st john s,2019,7.400000095367432
st john s,2020,10.39999961853027
st john s,2021,8.300000190734863
st john s,2022,6.7
st john s,2023,6
toronto,2016,7
toronto,2017,6.6
toronto,2018,6
toronto,2019,5.900000095367432
toronto,2020,11
toronto,2021,9.199999809265137
toronto,2022,6.3
toronto,2023,6.300000190734863
trois rivieres,2016,7.2
trois rivieres,2017,5.8
trois rivieres,2018,5.099999904632568
trois rivieres,2019,5.5
trois rivieres,2020,8
trois rivieres,2021,5
trois rivieres,2022,3.4
trois rivieres,2023,4.199999809265137
vancouver,2016,5.5
vancouver,2017,4.7
vancouver,2018,4.099999904632568
vancouver,2019,4.599999904632568
vancouver,2020,9.5
vancouver,2021,6.900000095367432
vancouver,2022,4.7
vancouver,2023,5.599999904632568
victoria,2016,5.2
victoria,2017,3.9
victoria,2018,4.099999904632568
victoria,2019,3.599999904632568
victoria,2020,7.800000190734863
victoria,2021,4.900000095367432
victoria,2022,3.8
victoria,2023,3.700000047683716
windsor,2016,5.6
windsor,2017,6
windsor,2018,6
windsor,2019,6.199999809265137
windsor,2020,12
windsor,2021,9.199999809265137
windsor,2022,7.3
windsor,2023,6.199999809265137
winnipeg,2016,6.5
winnipeg,2017,5.7
winnipeg,2018,6.300000190734863
winnipeg,2019,5.300000190734863
winnipeg,2020,9
winnipeg,2021,6.800000190734863
winnipeg,2022,4.6
winnipeg,2023,4.900000095367432
