"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"All census agglomerations, Canada","3,706,900","3,736,075","3,770,625","3,805,784","3,834,001","3,867,708","3,919,053","3,987,546","4,066,612","4,102,905"
"Grand Falls-Windsor (CA), Newfoundland and Labrador","14,313","14,286","14,263","14,204","14,225","14,294","14,366","14,480","14,516","14,549"
"Gander (CA), Newfoundland and Labrador","13,430","13,580","13,673","13,628","13,677","13,817","13,838","14,102","14,266","14,389"
"Corner Brook (CA), Newfoundland and Labrador","31,433","31,339","31,152","31,096","30,821","30,827","30,985","31,009","31,379","31,880"
"Charlottetown (CA), Prince Edward Island","74,176","76,453","78,003","80,008","81,853","83,104","86,395","90,602","94,906","96,516"
"Summerside (CA), Prince Edward Island","17,171","17,350","17,795","18,248","18,568","19,051","19,344","19,964","20,619","21,017"
"Kentville (CA), Nova Scotia","26,602","26,688","26,973","27,119","27,338","27,776","28,283","28,731","29,283","29,559"
"Truro (CA), Nova Scotia","46,576","46,590","46,828","47,194","47,616","48,077","48,762","49,579","50,650","51,166"
"New Glasgow (CA), Nova Scotia","34,979","34,932","34,866","34,920","35,066","35,345","35,739","36,109","36,493","36,677"
"Cape Breton (CA), Nova Scotia","100,392","100,281","100,756","102,560","102,356","100,754","102,830","108,760","112,078","111,889"
"Bathurst (CA), New Brunswick","31,610","31,619","31,598","31,720","31,799","31,876","32,177","32,624","33,326","33,467"
"Miramichi (CA), New Brunswick","27,953","27,872","27,785","27,827","27,870","28,085","28,620","29,287","30,047","30,218"
"Edmundston (CA), New Brunswick","22,302","22,361","22,370","22,364","22,385","22,514","22,634","23,275","24,174","24,655"
"Campbellton (CA), New Brunswick/Quebec","15,032","15,029","15,020","15,037","15,047","15,206","15,096","15,185","15,450","15,554"
"Campbellton (CA), New Brunswick part, New Brunswick","12,204","12,185","12,137","12,113","12,134","12,204","12,134","12,202","12,483","12,587"
"Campbellton (CA), Quebec part, Quebec","2,828","2,844","2,883","2,924","2,913","3,002","2,962","2,983","2,967","2,967"
"Matane (CA), Quebec","18,829","18,757","18,653","18,518","18,528","18,494","18,782","18,839","18,722","18,724"
