"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"All census metropolitan areas and census agglomerations, Saskatchewan","738,256","749,745","758,983","767,120","770,911","771,185","782,243","811,981","846,341","863,245"
"All census metropolitan areas, Saskatchewan","552,603","563,222","572,128","580,165","585,145","585,624","596,857","624,747","654,805","669,662"
"All census agglomerations, Saskatchewan","185,653","186,523","186,855","186,955","185,766","185,561","185,386","187,234","191,536","193,583"
"All census metropolitan areas and census agglomerations, Alberta","3,413,537","3,453,851","3,507,162","3,567,776","3,619,890","3,644,427","3,724,096","3,891,918","4,097,325","4,210,916"
"All census metropolitan areas, Alberta","3,026,674","3,067,397","3,115,818","3,172,131","3,221,891","3,245,576","3,325,058","3,485,016","3,678,469","3,786,813"
"All census agglomerations, Alberta","386,863","386,454","391,344","395,645","397,999","398,851","399,038","406,902","418,856","424,103"
"All census metropolitan areas and census agglomerations, British Columbia","4,349,863","4,416,069","4,495,433","4,579,118","4,639,462","4,683,796","4,809,391","4,960,069","5,111,485","5,135,917"
"All census metropolitan areas, British Columbia","3,686,580","3,743,939","3,814,442","3,889,654","3,943,419","3,980,742","4,095,169","4,236,592","4,378,728","4,398,790"
"All census agglomerations, British Columbia","663,283","672,130","680,991","689,464","696,043","703,054","714,222","723,477","732,757","737,127"
"All census metropolitan areas and census agglomerations, Yukon","30,370","31,123","31,835","32,498","33,332","34,233","35,213","36,702","38,823","39,584"
"All census agglomerations, Yukon","30,370","31,123","31,835","32,498","33,332","34,233","35,213","36,702","38,823","39,584"
"All census metropolitan areas and census agglomerations, Northwest Territories","20,959","21,169","21,286","21,491","21,658","21,904","22,165","22,421","23,150","23,826"
"All census agglomerations, Northwest Territories","20,959","21,169","21,286","21,491","21,658","21,904","22,165","22,421","23,150","23,826"




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
2,"A census metropolitan area (CMA) or a census agglomeration (CA) is formed by one or more adjacent municipalities centred on a population centre (known as the core). A CMA must have a total population of at least 100,000, based on data from the current Census of Population Program, of which 50,000 or more must live in the core based on adjusted data from the previous Census of Population Program. A CA must have a core population of at least 10,000 also based on data from the previous Census of Population Program. To be included in the CMA or CA, other adjacent municipalities must have a high degree of integration with the core, as measured by commuting flows derived from data on place of work from the previous Census Program. If the population of the core of a CA falls below 10,000, the CA is retired from the next census. However, once an area becomes a CMA, it is retained as a CMA even if its total population declines below 100,000 or the population of its core falls below 50,000. All areas inside the CMA or CA that are not population centres are rural areas. When a CA has a core of at least 50,000, based on data from the previous Census of Population, it is subdivided into census tracts. Census tracts are maintained for the CA even if the population of the core subsequently falls below 50,000. All CMAs are subdivided into census tracts (2021 Census Dictionary, catalogue number 98-301-X2021001)."
3,"An area outside census metropolitan areas and census agglomerations is made up of all areas (within a province or territory) unallocated to a census metropolitan area (CMA) or census agglomeration (CA)."
4,"Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated reserves and settlements) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the year in consideration."
5,"Population estimates as of July 1 are final intercensal up to 2020, final postcensal for 2021, updated postcensal for 2022 to 2024, and preliminary postcensal for 2025."
6,"The population growth, which is used to calculate population estimates of census metropolitan areas and census agglomerations (table 17100148), is comprised of the components of population growth (table 17100149)."
7,"This table replaces table 17100135."
8,"Age on July 1."



"How to cite: Statistics Canada. Table 17-10-0148-01  Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014801
